130,,,,,,,,,,,,,
mint pegged,,,redeem pegged,,,mint leveraged,,,redeem leveraged (month 1),,,redeem leveraged,
131,100,,100,-1,,100,100,,100,100,,100,100
140,2,,110,-0.75,,110,-2.5,,129,4,,129,4
150,1,,129,-0.3,,129,-1,,140,2.5,,140,2
160,0.75,,140,0,,180,0,,150,2,,150,1.5
170,0.5,,150,0.25,,190,0.25,,160,1.5,,160,1
180,0.33,,160,0.33,,200,0.5,,170,1.25,,170,0.75
max,0.25,,max,0.5,,max,1,,max,1,,max,0.66
,,,,,,,,,,,,,
,,,,,,,,,,,,,
125,,,,,,,,,,,,,
mint pegged,,,redeem pegged,,,mint leveraged,,,redeem leveraged (month 1),,,redeem leveraged,
126,100,,100,-1,,100,100,,100,100,,100,100
135,2,,110,-0.75,,110,-2.5,,124,4,,124,4
150,1,,124,-0.3,,124,-1,,135,2.5,,135,2
160,0.75,,135,0,,175,0,,145,2,,145,1.5
170,0.5,,150,0.25,,185,0.25,,155,1.5,,155,1
180,0.33,,160,0.33,,200,0.5,,165,1.25,,165,0.75
max,0.25,,max,0.5,,max,1,,max,1,,max,0.66
,,,,,,,,,,,,,
115,,,,,,,,,,,,,
mint pegged,,,redeem pegged,,,mint leveraged,,,redeem leveraged (month 1),,,redeem leveraged,
116,100,,100,-1,,100,100,,100,100,,100,100
125,1.5,,110,-0.75,,110,-2.5,,114,4,,114,4
130,1,,114,-0.3,,114,-1,,125,2.5,,125,2
135,0.66,,125,0,,160,0,,135,2,,135,1.5
140,0.5,,140,0.25,,190,0.25,,145,1.5,,145,1
150,0.33,,150,0.33,,200,0.5,,155,1.25,,155,0.75
max,0.25,,max,0.5,,max,1,,max,1,,max,0.66
,,,,,,,,,,,,,
105,,,,,,,,,,,,,
mint pegged,,,redeem pegged,,,mint leveraged,,,redeem leveraged (month1),,,redeem leveraged,
106,100,,100,-1,,100,100,,100,100,,100,100
115,1,,102,-0.75,,102,-2.5,,102,4,,102,3
120,0.66,,104,-0.3,,104,-1,,104,2.5,,104,2
125,0.5,,110,0,,160,0,,110,2,,110,1
130,0.35,,115,0.1,,170,0.25,,115,1.5,,115,0.75
135,0.3,,125,0.25,,180,0.5,,120,1.25,,120,0.66
max,0.25,,max,0.33,,max,1,,max,1,,max,0.5
