| File                                                               | % Lines            | % Statements       | % Branches       | % Funcs           |
|--------------------------------------------------------------------|--------------------|--------------------|------------------|-------------------|
| script/config/ConfigBase.sol                                       | ✓ 100% (8/8)       | ✓ 100% (8/8)       | ✓ 100% (0/0)     | ✓ 100% (4/4)      |
| script/config/ConfigTokenNames.sol                                 | X  88% (21/24)     | X  90% (18/20)     | ✓ 100% (0/0)     | X  82% (9/11)     |
| script/config/chains/ConfigChain_mainnet.sol                       | X   5% (1/21)      | X   8% (1/13)      | ✓ 100% (0/0)     | X   0% (0/8)      |
| script/config/collaterals/ConfigCollateral_fxUSD_mainnet.sol       | X  67% (4/6)       | X  60% (3/5)       | ✓ 100% (0/0)     | X  67% (2/3)      |
| script/config/collaterals/ConfigCollateral_stETH_mainnet.sol       | X  33% (2/6)       | X  20% (1/5)       | ✓ 100% (0/0)     | X  33% (1/3)      |
| script/config/pegs/ConfigPeg.sol                                   | X  75% (6/8)       | X  86% (6/7)       | ✓ 100% (0/0)     | X  75% (3/4)      |
| script/config/pegs/ConfigPeg_BTC.sol                               | X  33% (2/6)       | X  33% (1/3)       | ✓ 100% (0/0)     | X  33% (1/3)      |
| script/config/pegs/ConfigPeg_ETH.sol                               | X  67% (4/6)       | X  67% (2/3)       | ✓ 100% (0/0)     | X  67% (2/3)      |
| script/config/pegs/ConfigPeg_EUR.sol                               | X  33% (2/6)       | X  33% (1/3)       | ✓ 100% (0/0)     | X  33% (1/3)      |
| script/config/pegs/ConfigPeg_GOLD.sol                              | X  33% (2/6)       | X  33% (1/3)       | ✓ 100% (0/0)     | X  33% (1/3)      |
| script/config/pegs/ConfigPeg_MCAP.sol                              | X   0% (0/6)       | X   0% (0/3)       | ✓ 100% (0/0)     | X   0% (0/3)      |
| script/config/pegs/ConfigPeg_SILVER.sol                            | X   0% (0/6)       | X   0% (0/4)       | ✓ 100% (0/0)     | X   0% (0/3)      |
| script/config/stabilitypool/ConfigStabilityPool.sol                | ✓ 100% (6/6)       | ✓ 100% (3/3)       | ✓ 100% (0/0)     | ✓ 100% (3/3)      |
| script/config/stabilitypool/ConfigStabilityPoolManager.sol         | ✓ 100% (6/6)       | ✓ 100% (3/3)       | ✓ 100% (0/0)     | ✓ 100% (3/3)      |
| script/config/stabilitypool/ConfigStabilityPoolManagerCommon.sol   | X   0% (0/21)      | X   0% (0/17)      | ✓ 100% (0/0)     | X   0% (0/7)      |
| script/config/volatility/ConfigPriceVolatility_105.sol             | X   0% (0/65)      | X   0% (0/71)      | ✓ 100% (0/0)     | X   0% (0/2)      |
| script/config/volatility/ConfigPriceVolatility_105_stable.sol      | X   0% (0/65)      | X   0% (0/71)      | ✓ 100% (0/0)     | X   0% (0/2)      |
| script/config/volatility/ConfigPriceVolatility_115.sol             | X   0% (0/65)      | X   0% (0/71)      | ✓ 100% (0/0)     | X   0% (0/2)      |
| script/config/volatility/ConfigPriceVolatility_115_stable.sol      | X   0% (0/65)      | X   0% (0/71)      | ✓ 100% (0/0)     | X   0% (0/2)      |
| script/config/volatility/ConfigPriceVolatility_125.sol             | X   0% (0/65)      | X   0% (0/71)      | ✓ 100% (0/0)     | X   0% (0/2)      |
| script/config/volatility/ConfigPriceVolatility_125_stable.sol      | X   0% (0/65)      | X   0% (0/71)      | ✓ 100% (0/0)     | X   0% (0/2)      |
| script/config/volatility/ConfigPriceVolatility_130.sol             | X   0% (0/65)      | X   0% (0/71)      | ✓ 100% (0/0)     | X   0% (0/2)      |
| script/config/volatility/ConfigPriceVolatility_130_stable.sol      | ✓ 100% (65/65)     | ✓ 100% (71/71)     | ✓ 100% (0/0)     | ✓ 100% (2/2)      |
| script/patch/ForceMigrateAccumulator_v1.sol                        | X   0% (0/24)      | X   0% (0/29)      | X   0% (0/2)     | X   0% (0/3)      |
| script/src/DeployMintersShared.sol                                 | X  83% (70/84)     | X  82% (84/102)    | X  25% (1/4)     | X  78% (7/9)      |
| script/src/Deploy_BTC_Minter.sol                                   | X   0% (0/5)       | X   0% (0/4)       | ✓ 100% (0/0)     | X   0% (0/1)      |
| script/src/Deploy_ETH_Minter.sol                                   | ✓ 100% (4/4)       | ✓ 100% (3/3)       | ✓ 100% (0/0)     | ✓ 100% (1/1)      |
| script/src/Deploy_EUR_Minter.sol                                   | X   0% (0/5)       | X   0% (0/4)       | ✓ 100% (0/0)     | X   0% (0/1)      |
| script/src/Deploy_GOLD_Minter.sol                                  | X   0% (0/5)       | X   0% (0/4)       | ✓ 100% (0/0)     | X   0% (0/1)      |
| script/src/Deploy_MCAP_Minter.sol                                  | X   0% (0/5)       | X   0% (0/4)       | ✓ 100% (0/0)     | X   0% (0/1)      |
| script/src/Deploy_SILVER_Minter.sol                                | X   0% (0/5)       | X   0% (0/4)       | ✓ 100% (0/0)     | X   0% (0/1)      |
| script/src/HarborFactoryDeployer.sol                               | X  56% (9/16)      | X  73% (8/11)      | ✓ 100% (0/0)     | X  20% (1/5)      |
| script/src/contracts/Genesis.sol                                   | X  70% (7/10)      | X  67% (8/12)      | ✓ 100% (0/0)     | X  50% (1/2)      |
| script/src/contracts/LeveragedToken.sol                            | ✓ 100% (15/15)     | ✓ 100% (23/23)     | ✓ 100% (0/0)     | ✓ 100% (1/1)      |
| script/src/contracts/Minter.sol                                    | X  57% (24/42)     | X  54% (25/46)     | ✓ 100% (0/0)     | X  62% (5/8)      |
| script/src/contracts/PeggedToken.sol                               | X  83% (20/24)     | X  94% (31/33)     | X  50% (3/6)     | ✓ 100% (1/1)      |
| script/src/contracts/StabilityPool.sol                             | ✓ 100% (26/26)     | ✓ 100% (41/41)     | ✓ 100% (0/0)     | ✓ 100% (3/3)      |
| script/src/contracts/StabilityPoolManager.sol                      | X  54% (14/26)     | X  50% (15/30)     | ✓ 100% (0/0)     | X  50% (2/4)      |
| script/test/SPLRemediationTest.t.sol                               | X   0% (0/3)       | X   0% (0/2)       | ✓ 100% (0/0)     | X   0% (0/1)      |
| src/../script/src/HarborFactoryDeployer.sol                        | X   0% (0/16)      | X   0% (0/11)      | ✓ 100% (0/0)     | X   0% (0/5)      |
| src/math/DecrementalFloatingPoint.sol                              | ✓ 100% (31/31)     | ✓ 100% (33/33)     | ✓ 100% (9/9)     | ✓ 100% (6/6)      |
| src/minter/Genesis_v1.sol                                          | X  99% (88/89)     | ✓ 100% (88/88)     | ✓ 100% (14/14)   | X  92% (11/12)    |
| src/minter/Minter_v1.sol                                           | X  31% (188/601)   | X  29% (191/649)   | X  16% (16/102)  | X  56% (38/68)    |
| src/minter/Minter_v2.sol                                           | X  99% (593/601)   | X  99% (642/649)   | X  93% (95/102)  | X  99% (67/68)    |
| src/minter/PostRebalanceRemediationForStabilityPool_v2.sol         | X   0% (0/38)      | X   0% (0/45)      | X   0% (0/9)     | X   0% (0/6)      |
| src/minter/ReservePool_v1.sol                                      | X  94% (15/16)     | ✓ 100% (15/15)     | ✓ 100% (3/3)     | X  80% (4/5)      |
