# regression: suite_multiple=8 run_shift_multiple=4 noise_seconds=1.5 floor_seconds=0.05

suite CPU (milliseconds)
| name                                                                                                            |   milliseconds | CPU    |
|-----------------------------------------------------------------------------------------------------------------|----------------|--------|
| test/CollateralRatio.t.sol:TestCollateralRatioRangeIntegralNoReserve                                            |          25060 | 25.06s |
| test/CollateralRatio.t.sol:TestCollateralRatioRangeIntegralWithPartialReserve                                   |          24990 | 24.99s |
| test/CollateralRatio.t.sol:TestCollateralRatioRangeIntegralWithReserve                                          |          20560 | 20.56s |
| test/CollateralRatio.t.sol:TestCollateralRatioRangeTransfersNoReserve                                           |          10900 | 10.90s |
| test/CollateralRatio.t.sol:TestCollateralRatioRangeTransfersWithPartialReserve                                  |           9300 | 9.30s  |
| test/CollateralRatio.t.sol:TestCollateralRatioRangeTransfersWithReserve                                         |          10410 | 10.41s |
| test/ERC20MetadataLib_v1.t.sol:ERC20MetadataLib_v1_Test                                                         |             42 | 0.04s  |
| test/ExplainFinishAtZero.t.sol:ExplainFinishAtZeroTest                                                          |              1 | 0.00s  |
| test/Genesis.t.sol:Test_GenesisBase                                                                             |             12 | 0.01s  |
| test/GraphReward.t.sol:TestGraphRewardClaim                                                                     |           2480 | 2.48s  |
| test/GraphReward.t.sol:TestGraphRewardClaimThroughFullRebalance                                                 |           8470 | 8.47s  |
| test/GraphReward.t.sol:TestGraphRewardClaimThroughHalfRebalance                                                 |           8180 | 8.18s  |
| test/GraphsBasicCalculations.t.sol:TestGraphsBasicCalculations                                                  |           2470 | 2.47s  |
| test/GraphsFees.t.sol:TestGraphsFees                                                                            |           2750 | 2.75s  |
| test/GraphsFees.t.sol:TestGraphsFeesDeploy                                                                      |           1310 | 1.31s  |
| test/GraphsFees.t.sol:TestGraphsFeesNoDisallow                                                                  |           2680 | 2.68s  |
| test/GraphsInvariant.t.sol:TestGraphsInvariant                                                                  |           1050 | 1.05s  |
| test/GraphsLiquidate.t.sol:TestGraphsLiquidateAllBoth                                                           |          11370 | 11.37s |
| test/GraphsLiquidate.t.sol:TestGraphsLiquidateAllCollateral                                                     |           4970 | 4.97s  |
| test/GraphsLiquidate.t.sol:TestGraphsLiquidateAllLeveraged                                                      |           9230 | 9.23s  |
| test/GraphsLiquidate.t.sol:TestGraphsLiquidateParameters                                                        |            662 | 0.66s  |
| test/GraphsLiquidate.t.sol:TestGraphsLiquidatePartial                                                           |          14700 | 14.70s |
| test/GraphsLiquidate.t.sol:TestGraphsLiquidatePartialBoth15                                                     |          10650 | 10.65s |
| test/GraphsLiquidate.t.sol:TestGraphsLiquidatePartialBoth33                                                     |          11230 | 11.23s |
