# regression: better=lower abs=500 rel=0.001 display={:.3e} ratchet=on

src/minter/Minter_v3.sol:Minter_v3
| function name                                    |    max |   display |
|--------------------------------------------------|--------|-----------|
| HARVESTER_ROLE                                   |    305 | 3.050e+02 |
| LEVERAGED_TOKEN                                  |    283 | 2.830e+02 |
| PEGGED_TOKEN                                     |    327 | 3.270e+02 |
| WRAPPED_COLLATERAL_TOKEN                         |    305 | 3.050e+02 |
| ZERO_FEE_ROLE                                    |    307 | 3.070e+02 |
| collateralRatio                                  |  19071 | 1.907e+04 |
| collateralTokenBalance                           |   2358 | 2.358e+03 |
| config                                           |  79541 | 7.954e+04 |
| feeReceiver                                      |   2397 | 2.397e+03 |
| freeMintLeveragedToken                           | 146141 | 1.461e+05 |
| freeMintPeggedToken                              | 169776 | 1.698e+05 |
| freeRedeemDryRun                                 |  30820 | 3.082e+04 |
| freeRedeemLeveragedToken                         |  90508 | 9.051e+04 |
| freeRedeemPeggedToken                            | 112647 | 1.126e+05 |
| grantRoles                                       |  26400 | 2.640e+04 |
| harvestable                                      |  29450 | 2.945e+04 |
| hasAllRoles                                      |   2615 | 2.615e+03 |
| hasAnyRole                                       |   2636 | 2.636e+03 |
| initialize                                       | 184219 | 1.842e+05 |
| leverageRatio                                    |  19483 | 1.948e+04 |
| leveragedTokenBalance                            |  10354 | 1.035e+04 |
| leveragedTokenPrice                              |  29836 | 2.984e+04 |
| mintLeveragedToken                               | 149737 | 1.497e+05 |
| mintLeveragedTokenDryRun                         |  73547 | 7.355e+04 |
| mintLeveragedTokenIncentiveRatio                 |  30991 | 3.099e+04 |
| mintPeggedToken(uint256,address,uint256)         | 198418 | 1.984e+05 |
| mintPeggedToken(uint256,address,uint256,uint256) | 133991 | 1.340e+05 |
| mintPeggedTokenDryRun(uint256)                   |  64186 | 6.419e+04 |
| mintPeggedTokenDryRun(uint256,uint256)           |  45355 | 4.536e+04 |
| mintPeggedTokenIncentiveRatio                    |  30030 | 3.003e+04 |
| owner                                            |   2424 | 2.424e+03 |
| peggedTokenBalance                               |   2431 | 2.431e+03 |
| peggedTokenPrice                                 |  19138 | 1.914e+04 |
| priceOracle                                      |   2472 | 2.472e+03 |
| proxiableUUID                                    |    386 | 3.860e+02 |
| redeemLeveragedToken                             | 128275 | 1.283e+05 |
| redeemLeveragedTokenDryRun                       |  63367 | 6.337e+04 |
| redeemLeveragedTokenIncentiveRatio               |  29122 | 2.912e+04 |
| redeemPeggedForCollateralRatio                   |  20256 | 2.026e+04 |
| redeemPeggedToken                                | 139419 | 1.394e+05 |
