| Contract                          |   Runtime Size (B) |   Runtime Margin (B) |   Initcode Size (B) |   Deploy Gas |   Deploy Cost ($) |
|-----------------------------------|--------------------|----------------------|---------------------|--------------|-------------------|
| AutoCompounder_v1                 |             12,363 |               12,213 |              13,907 |    2,611,670 |            261.17 |
| ConfigIncentiveLib                |                 85 |               24,491 |                 135 |       18,350 |              1.84 |
| ConfigMarket_BTC_fxUSD_mainnet    |              6,856 |               17,720 |               6,884 |    1,440,040 |            144.00 |
| ConfigMarket_BTC_stETH_mainnet    |              6,882 |               17,694 |               6,910 |    1,445,500 |            144.55 |
| ConfigMarket_ETH_fxUSD_mainnet    |              6,856 |               17,720 |               6,884 |    1,440,040 |            144.00 |
| ConfigMarket_EUR_fxUSD_mainnet    |              6,844 |               17,732 |               6,872 |    1,437,520 |            143.75 |
| ConfigMarket_EUR_stETH_mainnet    |              6,870 |               17,706 |               6,898 |    1,442,980 |            144.30 |
| ConfigMarket_GOLD_fxUSD_mainnet   |              6,860 |               17,716 |               6,888 |    1,440,880 |            144.09 |
| ConfigMarket_GOLD_stETH_mainnet   |              6,886 |               17,690 |               6,914 |    1,446,340 |            144.63 |
| ConfigMarket_MCAP_fxUSD_mainnet   |              6,862 |               17,714 |               6,890 |    1,441,300 |            144.13 |
| ConfigMarket_MCAP_stETH_mainnet   |              6,888 |               17,688 |               6,916 |    1,446,760 |            144.68 |
| ConfigMarket_SILVER_fxUSD_mainnet |              6,856 |               17,720 |               6,884 |    1,440,040 |            144.00 |
| ConfigMarket_SILVER_stETH_mainnet |              6,882 |               17,694 |               6,910 |    1,445,500 |            144.55 |
| ConfigPeg_BTC                     |                766 |               23,810 |                 794 |      161,140 |             16.11 |
| ConfigPeg_ETH                     |                766 |               23,810 |                 794 |      161,140 |             16.11 |
| ConfigPeg_EUR                     |                768 |               23,808 |                 796 |      161,560 |             16.16 |
| ConfigPeg_GOLD                    |                770 |               23,806 |                 798 |      161,980 |             16.20 |
| ConfigPeg_MCAP                    |                772 |               23,804 |                 800 |      162,400 |             16.24 |
| ConfigPeg_SILVER                  |                794 |               23,782 |                 822 |      167,020 |             16.70 |
| ConfigPriceVolatility_105         |              3,019 |               21,557 |               3,047 |      634,270 |             63.43 |
| ConfigPriceVolatility_105_stable  |              3,019 |               21,557 |               3,047 |      634,270 |             63.43 |
| ConfigPriceVolatility_115         |              3,019 |               21,557 |               3,047 |      634,270 |             63.43 |
| ConfigPriceVolatility_115_stable  |              3,019 |               21,557 |               3,047 |      634,270 |             63.43 |
| ConfigPriceVolatility_125         |              3,019 |               21,557 |               3,047 |      634,270 |             63.43 |
| ConfigPriceVolatility_125_stable  |              3,019 |               21,557 |               3,047 |      634,270 |             63.43 |
| ConfigPriceVolatility_130         |              3,019 |               21,557 |               3,047 |      634,270 |             63.43 |
| ConfigPriceVolatility_130_stable  |              3,019 |               21,557 |               3,047 |      634,270 |             63.43 |
| Config_v1                         |              3,789 |               20,787 |               3,841 |      796,210 |             79.62 |
| DecrementalFloatingPoint          |                 85 |               24,491 |                 135 |       18,350 |              1.84 |
| ERC20MetadataLib_v1               |                 85 |               24,491 |                 135 |       18,350 |              1.84 |
| FakeAccessControl                 |              1,626 |               22,950 |               1,654 |      341,740 |             34.17 |
| FakeBaoAccessControl              |              1,487 |               23,089 |               1,515 |      312,550 |             31.26 |
| FakeInitializable                 |                389 |               24,187 |                 417 |       81,970 |              8.20 |
| FakeOwnable2Step                  |              1,346 |               23,230 |               1,374 |      282,940 |             28.29 |
| FakeUUPSUpgradeable               |              3,236 |               21,340 |               3,293 |      680,130 |             68.01 |
| FmtLib                            |                 85 |               24,491 |                 135 |       18,350 |              1.84 |
| Genesis_v1                        |              7,486 |               17,090 |               8,423 |    1,581,430 |            158.14 |
| HarborYield_v1                    |             15,982 |                8,594 |              16,977 |    3,366,170 |            336.62 |
| LinearReward                      |                 85 |               24,491 |                 135 |       18,350 |              1.84 |
| MinterMarketConfigLib             |                 85 |               24,491 |                 135 |       18,350 |              1.84 |
| Minter_v1                         |             23,681 |                  895 |              25,515 |    4,991,350 |            499.14 |
| Minter_v2                         |             23,675 |                  901 |              25,509 |    4,990,090 |            499.01 |
| Minter_v3                         |             24,218 |                  358 |              26,045 |    5,104,050 |            510.41 |
| PriceOracle_v1                    |              1,958 |               22,618 |               2,010 |      411,700 |             41.17 |
| ReservePool_v1                    |              4,760 |               19,816 |               5,009 |    1,002,090 |            100.21 |
| StabilityPoolManager_v1           |             11,209 |               13,367 |              13,057 |    2,372,370 |            237.24 |
| StabilityPool_v1                  |             21,092 |                3,484 |              23,085 |    4,449,250 |            444.93 |
| StabilityPool_v2                  |             20,711 |                3,865 |              22,579 |    4,367,990 |            436.80 |
| StabilityPool_v3                  |             23,066 |                1,510 |              25,562 |    4,868,820 |            486.88 |
| StakedETHWrappedPriceOracle_v1    |              3,695 |               20,881 |               4,653 |      785,530 |             78.55 |
| TokenDistributor_v1               |             10,116 |               14,460 |              10,365 |    2,126,850 |            212.69 |
| WordCodec                         |                 85 |               24,491 |                 135 |       18,350 |              1.84 |
