Address,sailETH Held,sailETH Claimable,Total sailETH,~$ Value
0x13F210c8bAf5f5DBAFf3E917E2e5A49E73BBAF12,0,60311559463305742,60311559463305742,1083.40
0x1a9152528AEFbcD9E5df4E0770f4F510e7056913,0,90912789787537255,90912789787537255,1633.10
0x1e085ff3CdD38b1E5F04Ace2345966056F0C85E4,1515885365927426,41497401864749,1557382767792175,11.93
0x3Fdaf8A9af23D27C884e10820130eAB1dB6dDBeD,6181459776411976,0,6181459776411976,45.62
0xAE7Dbb17bc40D53A6363409c6B1ED88d3cFdc31e,0,127808353298059,127808353298059,2.29
0xb9ab9578a34a05c86124c399735fdE44dEc80E7F,322217071257914429,0,322217071257914429,2388.28
0xC9df4f62474Cf6cdE6c064DB29416a9F4f27EBdC,39893782695968247,0,39893782695968247,294.47
0xDC1330EF8dc913C39bd29F9523418eEEacEf03D6,1465014951679706,0,1465014951679706,10.81
0xDD0CDF8D98d9Ad3ADfaa49AaECD444Bfa01d9C9a,894459467812868,110736322807779,1005195790620647,8.59

System
leveragedTokenPrice,3473634785159914046
leveragedTotalSupply,527687102733348727
