t,pattern,gap,bound
10000000000000000000,maxLoss,0,12
10000000000000000000,manySmall,7,12
10000000000000000000000,maxLoss,0,10002
10000000000000000000000,manySmall,5700,10002
1000000000000000000000000,maxLoss,0,1000002
1000000000000000000000000,manySmall,184702,1000002
1000000000000000000000000000,maxLoss,0,1000000002
1000000000000000000000000000,manySmall,697636948,1000000002
10000000000000000000000000000000,maxLoss,0,10000000000002
10000000000000000000000000000000,manySmall,74697082362,10000000000002
