pool,action,totalSupply,sumBalanceOf,gap,relGapPpb
BTC::fxUSD::stabilityPoolCollateral,plain,98410526344906787,98410526344906787,0,0
BTC::fxUSD::stabilityPoolLeveraged,plain,7298639108341792,7298639108341792,0,0
BTC::stETH::stabilityPoolCollateral,plain,265925959268011044,265925959268011044,0,0
BTC::stETH::stabilityPoolLeveraged,plain,308170456112196191,308170456112196191,0,0
ETH::fxUSD::stabilityPoolCollateral,plain,2667697970147308829,2667697970147308820,9,0
ETH::fxUSD::stabilityPoolLeveraged,plain,759085961648782394,759085961648782392,2,0
EUR::fxUSD::stabilityPoolCollateral,plain,1970891891441141111493,1970891891441141111493,0,0
EUR::fxUSD::stabilityPoolLeveraged,plain,1036026547709692213609,1036026547709692213609,0,0
EUR::stETH::stabilityPoolCollateral,plain,2987210817407679093814,2987210817407679091498,2316,0
EUR::stETH::stabilityPoolLeveraged,plain,2987255868848236716625,2987255868848236716192,433,0
GOLD::fxUSD::stabilityPoolCollateral,plain,200000000000000,200000000000000,0,0
GOLD::fxUSD::stabilityPoolLeveraged,plain,200000000000000,200000000000000,0,0
GOLD::stETH::stabilityPoolCollateral,empty,0,0,0,0
GOLD::stETH::stabilityPoolLeveraged,empty,0,0,0,0
MCAP::fxUSD::stabilityPoolCollateral,empty,0,0,0,0
MCAP::fxUSD::stabilityPoolLeveraged,empty,0,0,0,0
MCAP::stETH::stabilityPoolCollateral,empty,0,0,0,0
MCAP::stETH::stabilityPoolLeveraged,empty,0,0,0,0
SILVER::fxUSD::stabilityPoolCollateral,plain,10000000000000000,10000000000000000,0,0
SILVER::fxUSD::stabilityPoolLeveraged,empty,0,0,0,0
SILVER::stETH::stabilityPoolCollateral,empty,0,0,0,0
SILVER::stETH::stabilityPoolLeveraged,plain,10000000000000000,10000000000000000,0,0
