price,collateral,mintedPegged,widthNeeded
10000000000000,1000000000000000000,10000000000000,uint104
10000000000000,1000000000000000000000,10000000000000000,uint104
10000000000000,1000000000000000000000000,10000000000000000000,uint104
10000000000000,1000000000000000000000000000,10000000000000000000000,uint104
10000000000000,1000000000000000000000000000000,10000000000000000000000000,uint104
10000000000000000,1000000000000000000,10000000000000000,uint104
10000000000000000,1000000000000000000000,10000000000000000000,uint104
10000000000000000,1000000000000000000000000,10000000000000000000000,uint104
10000000000000000,1000000000000000000000000000,10000000000000000000000000,uint104
10000000000000000,1000000000000000000000000000000,10000000000000000000000000000,uint104
1000000000000000000,1000000000000000000,1000000000000000000,uint104
1000000000000000000,1000000000000000000000,1000000000000000000000,uint104
1000000000000000000,1000000000000000000000000,1000000000000000000000000,uint104
1000000000000000000,1000000000000000000000000000,1000000000000000000000000000,uint104
1000000000000000000,1000000000000000000000000000000,1000000000000000000000000000000,uint104
1000000000000000000000,1000000000000000000,1000000000000000000000,uint104
1000000000000000000000,1000000000000000000000,1000000000000000000000000,uint104
1000000000000000000000,1000000000000000000000000,1000000000000000000000000000,uint104
1000000000000000000000,1000000000000000000000000000,1000000000000000000000000000000,uint104
1000000000000000000000,1000000000000000000000000000000,1000000000000000000000000000000000,uint128
1000000000000000000000000,1000000000000000000,1000000000000000000000000,uint104
1000000000000000000000000,1000000000000000000000,1000000000000000000000000000,uint104
1000000000000000000000000,1000000000000000000000000,1000000000000000000000000000000,uint104
1000000000000000000000000,1000000000000000000000000000,1000000000000000000000000000000000,uint128
1000000000000000000000000,1000000000000000000000000000000,1000000000000000000000000000000000000,uint128
1000000000000000000000000000,1000000000000000000,1000000000000000000000000000,uint104
1000000000000000000000000000,1000000000000000000000,1000000000000000000000000000000,uint104
1000000000000000000000000000,1000000000000000000000000,1000000000000000000000000000000000,uint128
1000000000000000000000000000,1000000000000000000000000000,1000000000000000000000000000000000000,uint128
1000000000000000000000000000,1000000000000000000000000000000,1000000000000000000000000000000000000000,uint256
1000000000000000000000000000000,1000000000000000000,1000000000000000000000000000000,uint104
1000000000000000000000000000000,1000000000000000000000,1000000000000000000000000000000000,uint128
1000000000000000000000000000000,1000000000000000000000000,1000000000000000000000000000000000000,uint128
1000000000000000000000000000000,1000000000000000000000000000,1000000000000000000000000000000000000000,uint256
1000000000000000000000000000000,1000000000000000000000000000000,1000000000000000000000000000000000000000000,uint256
