Address,$ Before,$ After,$ Change,hs Held,hs Claimable,hs Claimed,ha in SPL
0x13F210c8bAf5f5DBAFf3E917E2e5A49E73BBAF12,$1035.21,$2069.19,+$1033.98,0,3498888716786175876,0,300336372621867295
0x1a9152528AEFbcD9E5df4E0770f4F510e7056913,$1560.46,$3119.08,+$1558.61,0,5274175253132022344,0,452722790667278425
0x1e085ff3CdD38b1E5F04Ace2345966056F0C85E4,$10.62,$2.04,-$8.58,1515885365927426,2407412317846803,0,206646607386655
0x31632636D664895f1BD9D03f5F7c162A2A6980EB,$67.49,$157.01,+$89.52,0,0,228109799861692495,0
0x3Fdaf8A9af23D27C884e10820130eAB1dB6dDBeD,$40.43,$2.52,-$37.90,6181459776411976,0,0,0
0xAE7Dbb17bc40D53A6363409c6B1ED88d3cFdc31e,$2.19,$4.38,+$2.19,0,7414618511691380,0,636453402331065
0xb9ab9578a34a05c86124c399735fdE44dEc80E7F,$2118.04,$163.33,-$1954.71,374304151449162791,1001469871587801,52963888575928980,4632259358695266
0xC9df4f62474Cf6cdE6c064DB29416a9F4f27EBdC,$260.96,$16.31,-$244.65,39893782695968247,0,0,0
0xDC1330EF8dc913C39bd29F9523418eEEacEf03D6,$9.58,$0.59,-$8.98,1465014951679706,0,0,0
0xDD0CDF8D98d9Ad3ADfaa49AaECD444Bfa01d9C9a,$7.75,$4.16,-$3.58,894459467812868,6424209121076753,0,551438991223686

System
leveragedTokenPrice before,3078405219966484156
leveragedTokenPrice after,192462471843639196
leveragedTotalSupply,9306196588681485410
peggedTokenBalance,5014302504644815742
collateralTokenBalance,14463821178678810280424
SPL levBalance,8790311679740400961
