Address,$ Before,$ After,$ Change,hs Held,hs Claimable,hs Claimed,ha in SPL
0x13F210c8bAf5f5DBAFf3E917E2e5A49E73BBAF12,$1035.21,$1082.58,+$47.37,0,60311559463305742,0,300336372621867295
0x1a9152528AEFbcD9E5df4E0770f4F510e7056913,$1560.46,$1631.87,+$71.40,0,90912789787537255,0,452722790667278425
0x1e085ff3CdD38b1E5F04Ace2345966056F0C85E4,$10.62,$11.91,+$1.28,1515885365927426,41497401864749,0,206646607386655
0x31632636D664895f1BD9D03f5F7c162A2A6980EB,$67.49,$98.04,+$30.55,0,0,3932007809370405,0
0x3Fdaf8A9af23D27C884e10820130eAB1dB6dDBeD,$40.43,$45.54,+$5.10,6181459776411976,0,0,0
0xAE7Dbb17bc40D53A6363409c6B1ED88d3cFdc31e,$2.19,$2.29,+$0.10,0,127808353298059,0,636453402331065
0xb9ab9578a34a05c86124c399735fdE44dEc80E7F,$2118.04,$2384.30,+$266.25,322217071257914429,53411233151520,876808384680618,4632259358695266
0xC9df4f62474Cf6cdE6c064DB29416a9F4f27EBdC,$260.96,$293.93,+$32.96,39893782695968247,0,0,0
0xDC1330EF8dc913C39bd29F9523418eEEacEf03D6,$9.58,$10.79,+$1.21,1465014951679706,0,0,0
0xDD0CDF8D98d9Ad3ADfaa49AaECD444Bfa01d9C9a,$7.75,$8.57,+$0.82,894459467812868,110736322807779,0,551438991223686

System
leveragedTokenPrice before,3078405219966484156
leveragedTokenPrice after,3467248825484481570
leveragedTotalSupply,525304936873195071
peggedTokenBalance,5014302504644815742
collateralTokenBalance,14528153969696516544774
SPL levBalance,151557802561965107
